Name,New Name,Type
Wxx-TPZ_7-2,Wxx-TPZ_7-2,VAR_EXTERNAL
Wxx-TPZ_7-3,Wxx-TPZ_7-3,VAR_EXTERNAL
Wxx-TPZ_7-4,Wxx-TPZ_7-4,VAR_EXTERNAL
Wxx-TPZ_7-5,Wxx-TPZ_7-5,VAR_EXTERNAL
Wxx-TPZ_7-6,Wxx-TPZ_7-6,VAR_EXTERNAL
Wxx-TPZ_7-7,Wxx-TPZ_7-7,VAR_EXTERNAL
Wxx-TPZ_7-8,Wxx-TPZ_7-8,VAR_EXTERNAL
Wxx-TPZ_7-9,Wxx-TPZ_7-9,VAR_EXTERNAL
Wxx-TPZ_7-10,Wxx-TPZ_7-10,VAR_EXTERNAL
Wxx-TPZ_8-1,Wxx-TPZ_8-1,VAR_EXTERNAL
Wxx-TPZ_8-2,Wxx-TPZ_8-2,VAR_EXTERNAL
Wxx-TPZ_8-3,Wxx-TPZ_8-3,VAR_EXTERNAL
Wxx-TPZ_8-4,Wxx-TPZ_8-4,VAR_EXTERNAL
Wxx-TPZ_8-5,Wxx-TPZ_8-5,VAR_EXTERNAL
Wxx-TPZ_8-6,Wxx-TPZ_8-6,VAR_EXTERNAL
Wxx-TPZ_8-7,Wxx-TPZ_8-7,VAR_EXTERNAL
Wxx-TPZ_8-8,Wxx-TPZ_8-8,VAR_EXTERNAL
Wxx-TPZ_8-9,Wxx-TPZ_8-9,VAR_EXTERNAL
Wxx-TPZ_8-10,Wxx-TPZ_8-10,VAR_EXTERNAL
Wxx-TPZ_9-1,Wxx-TPZ_9-1,VAR_EXTERNAL
Wxx-TPZ_9-2,Wxx-TPZ_9-2,VAR_EXTERNAL
Wxx-TPZ_9-3,Wxx-TPZ_9-3,VAR_EXTERNAL
Wxx-TPZ_9-4,Wxx-TPZ_9-4,VAR_EXTERNAL
Wxx-TPZ_9-5,Wxx-TPZ_9-5,VAR_EXTERNAL
Wxx-TPZ_9-6,Wxx-TPZ_9-6,VAR_EXTERNAL
Wxx-TPZ_9-7,Wxx-TPZ_9-7,VAR_EXTERNAL
Wxx-TPZ_9-8,Wxx-TPZ_9-8,VAR_EXTERNAL
Wxx-TPZ_9-9,Wxx-TPZ_9-9,VAR_EXTERNAL
Wxx-TPZ_9-10,Wxx-TPZ_9-10,VAR_EXTERNAL
Wxx-TPZ_10-1,Wxx-TPZ_10-1,VAR_EXTERNAL
Wxx-TPZ_10-2,Wxx-TPZ_10-2,VAR_EXTERNAL
Wxx-TPZ_10-3,Wxx-TPZ_10-3,VAR_EXTERNAL
Wxx-TPZ_10-4,Wxx-TPZ_10-4,VAR_EXTERNAL
Wxx-TPZ_10-5,Wxx-TPZ_10-5,VAR_EXTERNAL
Wxx-TPZ_10-6,Wxx-TPZ_10-6,VAR_EXTERNAL
Wxx-TPZ_10-7,Wxx-TPZ_10-7,VAR_EXTERNAL
Wxx-TPZ_10-8,Wxx-TPZ_10-8,VAR_EXTERNAL
Wxx-TPZ_10-9,Wxx-TPZ_10-9,VAR_EXTERNAL
Wxx-TPZ_10-10,Wxx-TPZ_10-10,VAR_EXTERNAL
xx-E-ES_1-1,xx-E-ES_1-1,VAR_EXTERNAL
xx-E-ES_1-2,xx-E-ES_1-2,VAR_EXTERNAL
xx-E-ES_2-1,xx-E-ES_2-1,VAR_EXTERNAL
xx-E-ES_2-2,xx-E-ES_2-2,VAR_EXTERNAL
xx-E-ES_3-1,xx-E-ES_3-1,VAR_EXTERNAL
xx-E-ES_3-2,xx-E-ES_3-2,VAR_EXTERNAL
xx-E-ES_4-1,xx-E-ES_4-1,VAR_EXTERNAL
xx-E-ES_4-2,xx-E-ES_4-2,VAR_EXTERNAL
xx-E-ES_5-1,xx-E-ES_5-1,VAR_EXTERNAL
xx-E-ES_5-2,xx-E-ES_5-2,VAR_EXTERNAL
xx-E-ES_6-1,xx-E-ES_6-1,VAR_EXTERNAL
xx-E-ES_6-2,xx-E-ES_6-2,VAR_EXTERNAL
xx-E-ES_7-1,xx-E-ES_7-1,VAR_EXTERNAL
xx-E-ES_7-2,xx-E-ES_7-2,VAR_EXTERNAL
xx-E-ES_8-1,xx-E-ES_8-1,VAR_EXTERNAL
xx-E-ES_8-2,xx-E-ES_8-2,VAR_EXTERNAL
xx-E-ES_9-1,xx-E-ES_9-1,VAR_EXTERNAL
xx-E-ES_9-2,xx-E-ES_9-2,VAR_EXTERNAL
xx-E-ES_10-1,xx-E-ES_10-1,VAR_EXTERNAL
xx-E-ES_10-2,xx-E-ES_10-2,VAR_EXTERNAL
xx-E-WS_1-1,xx-E-WS_1-1,VAR_EXTERNAL
xx-E-WS_1-2,xx-E-WS_1-2,VAR_EXTERNAL
xx-E-WS_2-1,xx-E-WS_2-1,VAR_EXTERNAL
xx-E-WS_2-2,xx-E-WS_2-2,VAR_EXTERNAL
xx-E-WS_3-1,xx-E-WS_3-1,VAR_EXTERNAL
xx-E-WS_3-2,xx-E-WS_3-2,VAR_EXTERNAL
xx-E-WS_4-1,xx-E-WS_4-1,VAR_EXTERNAL
xx-E-WS_4-2,xx-E-WS_4-2,VAR_EXTERNAL
xx-E-WS_5-1,xx-E-WS_5-1,VAR_EXTERNAL
xx-E-WS_5-2,xx-E-WS_5-2,VAR_EXTERNAL
xx-E-WS_6-1,xx-E-WS_6-1,VAR_EXTERNAL
xx-E-WS_6-2,xx-E-WS_6-2,VAR_EXTERNAL
xx-E-WS_7-1,xx-E-WS_7-1,VAR_EXTERNAL
xx-E-WS_7-2,xx-E-WS_7-2,VAR_EXTERNAL
xx-E-WS_8-1,xx-E-WS_8-1,VAR_EXTERNAL
xx-E-WS_8-2,xx-E-WS_8-2,VAR_EXTERNAL
xx-E-WS_9-1,xx-E-WS_9-1,VAR_EXTERNAL
xx-E-WS_9-2,xx-E-WS_9-2,VAR_EXTERNAL
xx-E-WS_10-1,xx-E-WS_10-1,VAR_EXTERNAL
xx-E-WS_10-2,xx-E-WS_10-2,VAR_EXTERNAL
xx-S-ES_1-1,xx-S-ES_1-1,VAR_EXTERNAL
xx-S-ES_1-2,xx-S-ES_1-2,VAR_EXTERNAL
xx-S-ES_2-1,xx-S-ES_2-1,VAR_EXTERNAL
xx-S-ES_2-2,xx-S-ES_2-2,VAR_EXTERNAL
xx-S-ES_3-1,xx-S-ES_3-1,VAR_EXTERNAL
xx-S-ES_3-2,xx-S-ES_3-2,VAR_EXTERNAL
xx-S-ES_4-1,xx-S-ES_4-1,VAR_EXTERNAL
xx-S-ES_4-2,xx-S-ES_4-2,VAR_EXTERNAL
xx-S-ES_5-1,xx-S-ES_5-1,VAR_EXTERNAL
xx-S-ES_5-2,xx-S-ES_5-2,VAR_EXTERNAL
xx-S-ES_6-1,xx-S-ES_6-1,VAR_EXTERNAL
xx-S-ES_6-2,xx-S-ES_6-2,VAR_EXTERNAL
xx-S-ES_7-1,xx-S-ES_7-1,VAR_EXTERNAL
xx-S-ES_7-2,xx-S-ES_7-2,VAR_EXTERNAL
xx-S-ES_8-1,xx-S-ES_8-1,VAR_EXTERNAL
xx-S-ES_8-2,xx-S-ES_8-2,VAR_EXTERNAL
xx-S-ES_9-1,xx-S-ES_9-1,VAR_EXTERNAL
xx-S-ES_9-2,xx-S-ES_9-2,VAR_EXTERNAL
xx-S-ES_10-1,xx-S-ES_10-1,VAR_EXTERNAL
xx-S-ES_10-2,xx-S-ES_10-2,VAR_EXTERNAL
xx-S-WS_1-1,xx-S-WS_1-1,VAR_EXTERNAL
xx-S-WS_1-2,xx-S-WS_1-2,VAR_EXTERNAL
xx-S-WS_2-1,xx-S-WS_2-1,VAR_EXTERNAL
xx-S-WS_2-2,xx-S-WS_2-2,VAR_EXTERNAL
xx-S-WS_3-1,xx-S-WS_3-1,VAR_EXTERNAL
xx-S-WS_3-2,xx-S-WS_3-2,VAR_EXTERNAL
xx-S-WS_4-1,xx-S-WS_4-1,VAR_EXTERNAL
xx-S-WS_4-2,xx-S-WS_4-2,VAR_EXTERNAL
xx-S-WS_5-1,xx-S-WS_5-1,VAR_EXTERNAL
xx-S-WS_5-2,xx-S-WS_5-2,VAR_EXTERNAL
xx-S-WS_6-1,xx-S-WS_6-1,VAR_EXTERNAL
xx-S-WS_6-2,xx-S-WS_6-2,VAR_EXTERNAL
xx-S-WS_7-1,xx-S-WS_7-1,VAR_EXTERNAL
xx-S-WS_7-2,xx-S-WS_7-2,VAR_EXTERNAL
xx-S-WS_8-1,xx-S-WS_8-1,VAR_EXTERNAL
xx-S-WS_8-2,xx-S-WS_8-2,VAR_EXTERNAL
xx-S-WS_9-1,xx-S-WS_9-1,VAR_EXTERNAL
xx-S-WS_9-2,xx-S-WS_9-2,VAR_EXTERNAL
xx-S-WS_10-1,xx-S-WS_10-1,VAR_EXTERNAL
xx-S-WS_10-2,xx-S-WS_10-2,VAR_EXTERNAL
xx-T-ELAS_1-1,xx-T-ELAS_1-1,VAR_EXTERNAL
xx-T-ELAS_1-2,xx-T-ELAS_1-2,VAR_EXTERNAL
xx-T-ELAS_1-3,xx-T-ELAS_1-3,VAR_EXTERNAL
xx-T-ELAS_1-4,xx-T-ELAS_1-4,VAR_EXTERNAL
xx-T-ELAS_1-5,xx-T-ELAS_1-5,VAR_EXTERNAL
xx-T-ELAS_1-6,xx-T-ELAS_1-6,VAR_EXTERNAL
xx-T-ELAS_1-7,xx-T-ELAS_1-7,VAR_EXTERNAL
xx-T-ELAS_1-8,xx-T-ELAS_1-8,VAR_EXTERNAL
xx-T-ELAS_1-9,xx-T-ELAS_1-9,VAR_EXTERNAL
xx-T-ELAS_1-10,xx-T-ELAS_1-10,VAR_EXTERNAL
xx-T-ELAS_2-1,xx-T-ELAS_2-1,VAR_EXTERNAL
xx-T-ELAS_2-2,xx-T-ELAS_2-2,VAR_EXTERNAL
xx-T-ELAS_2-3,xx-T-ELAS_2-3,VAR_EXTERNAL
xx-T-ELAS_2-4,xx-T-ELAS_2-4,VAR_EXTERNAL
xx-T-ELAS_2-5,xx-T-ELAS_2-5,VAR_EXTERNAL
xx-T-ELAS_2-6,xx-T-ELAS_2-6,VAR_EXTERNAL
xx-T-ELAS_2-7,xx-T-ELAS_2-7,VAR_EXTERNAL
xx-T-ELAS_2-8,xx-T-ELAS_2-8,VAR_EXTERNAL
xx-T-ELAS_2-9,xx-T-ELAS_2-9,VAR_EXTERNAL
xx-T-ELAS_2-10,xx-T-ELAS_2-10,VAR_EXTERNAL
xx-T-ELAS_3-1,xx-T-ELAS_3-1,VAR_EXTERNAL
xx-T-ELAS_3-2,xx-T-ELAS_3-2,VAR_EXTERNAL
xx-T-ELAS_3-3,xx-T-ELAS_3-3,VAR_EXTERNAL
xx-T-ELAS_3-4,xx-T-ELAS_3-4,VAR_EXTERNAL
xx-T-ELAS_3-5,xx-T-ELAS_3-5,VAR_EXTERNAL
xx-T-ELAS_3-6,xx-T-ELAS_3-6,VAR_EXTERNAL
xx-T-ELAS_3-7,xx-T-ELAS_3-7,VAR_EXTERNAL
xx-T-ELAS_3-8,xx-T-ELAS_3-8,VAR_EXTERNAL
xx-T-ELAS_3-9,xx-T-ELAS_3-9,VAR_EXTERNAL
xx-T-ELAS_3-10,xx-T-ELAS_3-10,VAR_EXTERNAL
xx-T-ELAS_4-1,xx-T-ELAS_4-1,VAR_EXTERNAL
xx-T-ELAS_4-2,xx-T-ELAS_4-2,VAR_EXTERNAL
xx-T-ELAS_4-3,xx-T-ELAS_4-3,VAR_EXTERNAL
xx-T-ELAS_4-4,xx-T-ELAS_4-4,VAR_EXTERNAL
xx-T-ELAS_4-5,xx-T-ELAS_4-5,VAR_EXTERNAL
xx-T-ELAS_4-6,xx-T-ELAS_4-6,VAR_EXTERNAL
xx-T-ELAS_4-7,xx-T-ELAS_4-7,VAR_EXTERNAL
xx-T-ELAS_4-8,xx-T-ELAS_4-8,VAR_EXTERNAL
xx-T-ELAS_4-9,xx-T-ELAS_4-9,VAR_EXTERNAL
xx-T-ELAS_4-10,xx-T-ELAS_4-10,VAR_EXTERNAL
xx-T-ELAS_5-1,xx-T-ELAS_5-1,VAR_EXTERNAL
xx-T-ELAS_5-2,xx-T-ELAS_5-2,VAR_EXTERNAL
xx-T-ELAS_5-3,xx-T-ELAS_5-3,VAR_EXTERNAL
xx-T-ELAS_5-4,xx-T-ELAS_5-4,VAR_EXTERNAL
xx-T-ELAS_5-5,xx-T-ELAS_5-5,VAR_EXTERNAL
xx-T-ELAS_5-6,xx-T-ELAS_5-6,VAR_EXTERNAL
xx-T-ELAS_5-7,xx-T-ELAS_5-7,VAR_EXTERNAL
xx-T-ELAS_5-8,xx-T-ELAS_5-8,VAR_EXTERNAL
xx-T-ELAS_5-9,xx-T-ELAS_5-9,VAR_EXTERNAL
xx-T-ELAS_5-10,xx-T-ELAS_5-10,VAR_EXTERNAL
xx-T-ELAS_6-1,xx-T-ELAS_6-1,VAR_EXTERNAL
xx-T-ELAS_6-2,xx-T-ELAS_6-2,VAR_EXTERNAL
xx-T-ELAS_6-3,xx-T-ELAS_6-3,VAR_EXTERNAL
xx-T-ELAS_6-4,xx-T-ELAS_6-4,VAR_EXTERNAL
xx-T-ELAS_6-5,xx-T-ELAS_6-5,VAR_EXTERNAL
xx-T-ELAS_6-6,xx-T-ELAS_6-6,VAR_EXTERNAL
xx-T-ELAS_6-7,xx-T-ELAS_6-7,VAR_EXTERNAL
xx-T-ELAS_6-8,xx-T-ELAS_6-8,VAR_EXTERNAL
xx-T-ELAS_6-9,xx-T-ELAS_6-9,VAR_EXTERNAL
xx-T-ELAS_6-10,xx-T-ELAS_6-10,VAR_EXTERNAL
xx-T-ELAS_7-1,xx-T-ELAS_7-1,VAR_EXTERNAL
xx-T-ELAS_7-2,xx-T-ELAS_7-2,VAR_EXTERNAL
xx-T-ELAS_7-3,xx-T-ELAS_7-3,VAR_EXTERNAL
xx-T-ELAS_7-4,xx-T-ELAS_7-4,VAR_EXTERNAL
xx-T-ELAS_7-5,xx-T-ELAS_7-5,VAR_EXTERNAL
xx-T-ELAS_7-6,xx-T-ELAS_7-6,VAR_EXTERNAL
xx-T-ELAS_7-7,xx-T-ELAS_7-7,VAR_EXTERNAL
xx-T-ELAS_7-8,xx-T-ELAS_7-8,VAR_EXTERNAL
xx-T-ELAS_7-9,xx-T-ELAS_7-9,VAR_EXTERNAL
xx-T-ELAS_7-10,xx-T-ELAS_7-10,VAR_EXTERNAL
xx-T-ELAS_8-1,xx-T-ELAS_8-1,VAR_EXTERNAL
xx-T-ELAS_8-2,xx-T-ELAS_8-2,VAR_EXTERNAL
xx-T-ELAS_8-3,xx-T-ELAS_8-3,VAR_EXTERNAL
xx-T-ELAS_8-4,xx-T-ELAS_8-4,VAR_EXTERNAL
xx-T-ELAS_8-5,xx-T-ELAS_8-5,VAR_EXTERNAL
xx-T-ELAS_8-6,xx-T-ELAS_8-6,VAR_EXTERNAL
xx-T-ELAS_8-7,xx-T-ELAS_8-7,VAR_EXTERNAL
xx-T-ELAS_8-8,xx-T-ELAS_8-8,VAR_EXTERNAL
xx-T-ELAS_8-9,xx-T-ELAS_8-9,VAR_EXTERNAL
xx-T-ELAS_8-10,xx-T-ELAS_8-10,VAR_EXTERNAL
xx-T-ELAS_9-1,xx-T-ELAS_9-1,VAR_EXTERNAL
xx-T-ELAS_9-2,xx-T-ELAS_9-2,VAR_EXTERNAL
xx-T-ELAS_9-3,xx-T-ELAS_9-3,VAR_EXTERNAL
xx-T-ELAS_9-4,xx-T-ELAS_9-4,VAR_EXTERNAL
xx-T-ELAS_9-5,xx-T-ELAS_9-5,VAR_EXTERNAL
xx-T-ELAS_9-6,xx-T-ELAS_9-6,VAR_EXTERNAL
xx-T-ELAS_9-7,xx-T-ELAS_9-7,VAR_EXTERNAL
xx-T-ELAS_9-8,xx-T-ELAS_9-8,VAR_EXTERNAL
xx-T-ELAS_9-9,xx-T-ELAS_9-9,VAR_EXTERNAL
xx-T-ELAS_9-10,xx-T-ELAS_9-10,VAR_EXTERNAL
xx-T-ELAS_10-1,xx-T-ELAS_10-1,VAR_EXTERNAL
xx-T-ELAS_10-2,xx-T-ELAS_10-2,VAR_EXTERNAL
xx-T-ELAS_10-3,xx-T-ELAS_10-3,VAR_EXTERNAL
xx-T-ELAS_10-4,xx-T-ELAS_10-4,VAR_EXTERNAL
xx-T-ELAS_10-5,xx-T-ELAS_10-5,VAR_EXTERNAL
xx-T-ELAS_10-6,xx-T-ELAS_10-6,VAR_EXTERNAL
xx-T-ELAS_10-7,xx-T-ELAS_10-7,VAR_EXTERNAL
xx-T-ELAS_10-8,xx-T-ELAS_10-8,VAR_EXTERNAL
xx-T-ELAS_10-9,xx-T-ELAS_10-9,VAR_EXTERNAL
xx-T-ELAS_10-10,xx-T-ELAS_10-10,VAR_EXTERNAL
xx-T-ES_1-1,xx-T-ES_1-1,VAR_EXTERNAL
xx-T-ES_1-2,xx-T-ES_1-2,VAR_EXTERNAL
xx-T-ES_2-1,xx-T-ES_2-1,VAR_EXTERNAL
xx-T-ES_2-2,xx-T-ES_2-2,VAR_EXTERNAL
xx-T-ES_3-1,xx-T-ES_3-1,VAR_EXTERNAL
xx-T-ES_3-2,xx-T-ES_3-2,VAR_EXTERNAL
xx-T-ES_4-1,xx-T-ES_4-1,VAR_EXTERNAL
xx-T-ES_4-2,xx-T-ES_4-2,VAR_EXTERNAL
xx-T-ES_5-1,xx-T-ES_5-1,VAR_EXTERNAL
xx-T-ES_5-2,xx-T-ES_5-2,VAR_EXTERNAL
xx-T-ES_6-1,xx-T-ES_6-1,VAR_EXTERNAL
xx-T-ES_6-2,xx-T-ES_6-2,VAR_EXTERNAL
xx-T-ES_7-1,xx-T-ES_7-1,VAR_EXTERNAL
xx-T-ES_7-2,xx-T-ES_7-2,VAR_EXTERNAL
xx-T-ES_8-1,xx-T-ES_8-1,VAR_EXTERNAL
xx-T-ES_8-2,xx-T-ES_8-2,VAR_EXTERNAL
xx-T-ES_9-1,xx-T-ES_9-1,VAR_EXTERNAL
xx-T-ES_9-2,xx-T-ES_9-2,VAR_EXTERNAL
xx-T-ES_10-1,xx-T-ES_10-1,VAR_EXTERNAL
xx-T-ES_10-2,xx-T-ES_10-2,VAR_EXTERNAL
xx-TP_1-1,xx-TP_1-1,VAR_EXTERNAL
xx-TP_1-2,xx-TP_1-2,VAR_EXTERNAL
xx-TP_2-1,xx-TP_2-1,VAR_EXTERNAL
xx-TP_2-2,xx-TP_2-2,VAR_EXTERNAL
xx-TP_3-1,xx-TP_3-1,VAR_EXTERNAL
xx-TP_3-2,xx-TP_3-2,VAR_EXTERNAL
xx-TP_4-1,xx-TP_4-1,VAR_EXTERNAL
xx-TP_4-2,xx-TP_4-2,VAR_EXTERNAL
xx-TP_5-1,xx-TP_5-1,VAR_EXTERNAL
xx-TP_5-2,xx-TP_5-2,VAR_EXTERNAL
xx-TP_6-1,xx-TP_6-1,VAR_EXTERNAL
xx-TP_6-2,xx-TP_6-2,VAR_EXTERNAL
xx-TP_7-1,xx-TP_7-1,VAR_EXTERNAL
xx-TP_7-2,xx-TP_7-2,VAR_EXTERNAL
xx-TP_8-1,xx-TP_8-1,VAR_EXTERNAL
xx-TP_8-2,xx-TP_8-2,VAR_EXTERNAL
xx-TP_9-1,xx-TP_9-1,VAR_EXTERNAL
xx-TP_9-2,xx-TP_9-2,VAR_EXTERNAL
xx-TP_10-1,xx-TP_10-1,VAR_EXTERNAL
xx-TP_10-2,xx-TP_10-2,VAR_EXTERNAL
xx-T-WLAS_1-1,xx-T-WLAS_1-1,VAR_EXTERNAL
xx-T-WLAS_1-2,xx-T-WLAS_1-2,VAR_EXTERNAL
xx-T-WLAS_1-3,xx-T-WLAS_1-3,VAR_EXTERNAL
xx-T-WLAS_1-4,xx-T-WLAS_1-4,VAR_EXTERNAL
xx-T-WLAS_1-5,xx-T-WLAS_1-5,VAR_EXTERNAL
xx-T-WLAS_1-6,xx-T-WLAS_1-6,VAR_EXTERNAL
xx-T-WLAS_1-7,xx-T-WLAS_1-7,VAR_EXTERNAL
xx-T-WLAS_1-8,xx-T-WLAS_1-8,VAR_EXTERNAL
xx-T-WLAS_1-9,xx-T-WLAS_1-9,VAR_EXTERNAL
xx-T-WLAS_1-10,xx-T-WLAS_1-10,VAR_EXTERNAL
xx-T-WLAS_2-1,xx-T-WLAS_2-1,VAR_EXTERNAL
xx-T-WLAS_2-2,xx-T-WLAS_2-2,VAR_EXTERNAL
xx-T-WLAS_2-3,xx-T-WLAS_2-3,VAR_EXTERNAL
xx-T-WLAS_2-4,xx-T-WLAS_2-4,VAR_EXTERNAL
xx-T-WLAS_2-5,xx-T-WLAS_2-5,VAR_EXTERNAL
xx-T-WLAS_2-6,xx-T-WLAS_2-6,VAR_EXTERNAL
xx-T-WLAS_2-7,xx-T-WLAS_2-7,VAR_EXTERNAL
xx-T-WLAS_2-8,xx-T-WLAS_2-8,VAR_EXTERNAL
xx-T-WLAS_2-9,xx-T-WLAS_2-9,VAR_EXTERNAL
xx-T-WLAS_2-10,xx-T-WLAS_2-10,VAR_EXTERNAL
xx-T-WLAS_3-1,xx-T-WLAS_3-1,VAR_EXTERNAL
xx-T-WLAS_3-2,xx-T-WLAS_3-2,VAR_EXTERNAL
xx-T-WLAS_3-3,xx-T-WLAS_3-3,VAR_EXTERNAL
xx-T-WLAS_3-4,xx-T-WLAS_3-4,VAR_EXTERNAL
xx-T-WLAS_3-5,xx-T-WLAS_3-5,VAR_EXTERNAL
xx-T-WLAS_3-6,xx-T-WLAS_3-6,VAR_EXTERNAL
xx-T-WLAS_3-7,xx-T-WLAS_3-7,VAR_EXTERNAL
